;Resene RGB Values List
;For further information refer to http://www.resene.co.nz
;Copyright Resene Paints Ltd 2001
;
;Permission to copy this software, to modify it, to redistribute it,
;to distribute modified versions, and to use it for any purpose is
;granted, subject to the following restrictions and understandings.
;
;1. Any text copy made of this dictionary must include this copyright
;notice in full.
;
;2. Any redistribution in binary form must reproduce this copyright
;notice in the documentation or other materials provided with the
;distribution.
;
;3. Resene Paints Ltd makes no warranty or representation that this
;dictionary is error-free, and is under no obligation to provide
;any services, by way of maintenance, update, or otherwise.
;
;4. There shall be no use of the name of Resene or Resene Paints Ltd in
;any advertising, promotional, or sales literature without prior
;written consent in each case.
;
;5. These RGB* colour formulations may not be used to the detriment of
;Resene Paints Ltd.
;
;*Modified to be hexidecimal format 
Resene Kangaroo    #c6c8bd
Resene Karaka    #1e1609
Resene Karry    #ffead4
Resene Kashmir Blue    #507096
Resene Kelp    #454936
Resene Kenyan Copper    #7c1c05
Resene Keppel    #3ab09e
Resene Kidnapper    #e1ead4
Resene Kilamanjaro    #240c02
Resene Killarney    #3a6a47
Resene Kimberly    #736c9f
Resene Kingfisher Daisy    #3e0480
Resene Kobi    #e79fc4
Resene Kokoda    #6e6d57
Resene Korma    #8f4b0e
Resene Koromiko    #ffbd5f
Resene Kournikova    #ffe772
Resene Kumera    #886221
Resene La Palma    #368716
Resene La Rioja    #b3c110
Resene Las Palmas    #c6e610
Resene Laser    #c8b568
Resene Laurel    #749378
Resene Lavender    #a899e6
Resene Leather    #967059
Resene Lemon    #f4d81c
Resene Lemon Ginger    #ac9e22
Resene Lemon Grass    #9b9e8f
Resene Licorice    #092256
Resene Lightning Yellow    #fcc01e
Resene Lilac Bush    #9874d3
Resene Lily    #c8aabf
Resene Lily White    #e7f8ff
Resene Lima    #76bd17
Resene Lime    #bfc921
Resene Limeade    #6f9d02
Resene Limed Ash    #747d63
Resene Limed Gum    #423921
Resene Limed Oak    #ac8a56
Resene Limed Spruce    #394851
Resene Limerick    #9dc209
Resene Linen    #e6e4d4
Resene Link Water    #d9e4f5
Resene Lipstick    #ab0563
Resene Lisbon Brown    #423921
Resene Livid Brown    #4d282e
Resene Loafer    #eef4de
Resene Loblolly    #bdc9ce
Resene Lochinvar    #2c8c84
Resene Lochmara    #007ec7
Resene Locust    #a8af8e
Resene Log Cabin    #242a1d
Resene Logan    #aaa9cd
Resene Lola    #dfcfdb
Resene London Hue    #bea6c3
Resene Lonestar    #6d0101
Resene Lotus    #863c3c
Resene Loulou    #460b41
Resene Lucky    #af9f1c
Resene Lucky Point    #1a1a68
Resene Lunar Green    #3c493a
Resene Lusty    #991b07
Resene Luxor Gold    #a7882c
Resene Lynch    #697e9a
Resene Mabel    #d9f7ff
Resene Madang    #b7f0be
Resene Madison    #09255d
Resene Madras    #3f3002
Resene Magnolia    #f8f4ff
Resene Mahogany    #4e0606
Resene Mai Tai    #b06608
Resene Maire    #130a06
Resene Maize    #f5d5a0
Resene Makara    #897d6d
Resene Mako    #444954
Resene Malachite Green    #888d65
Resene Malibu    #7dc8f7
Resene Mallard    #233418
Resene Malta    #bdb2a1
Resene Mamba    #8e8190
Resene Mandalay    #ad781b
Resene Mandy    #e25465
Resene Mandys Pink    #f2c3b2
Resene Manhattan    #f5c999
Resene Mantis    #74c365
Resene Mantle    #8b9c90
Resene Manz    #eeef78
Resene Mardi Gras    #350036
Resene Marigold    #b98d28
Resene Mariner    #286acd
Resene Marlin    #2a140e
Resene Maroon    #420303
Resene Marshland    #0b0f08
Resene Martini    #afa09e
Resene Martinique    #363050
Resene Marzipan    #f8db9d
Resene Masala    #403b38
Resene Mash    #40291d
Resene Matisse    #1b659d
Resene Matrix    #b05d54
Resene Matterhorn    #4e3b41
Resene Maverick    #d8c2d5
Resene McKenzie    #af8751
Resene Melanie    #e4c2d5
Resene Melanzane    #300529
Resene Melrose    #c7c1ff
Resene Meranti    #5d1e0f
Resene Mercury    #e5e5e5
Resene Merino    #f6f0e6
Resene Merlin    #413c37
Resene Merlot    #831923
Resene Metallic Bronze    #49371b
Resene Metallic Copper    #71291d
Resene Meteor    #d07d12
Resene Meteorite    #3c1f76
Resene Mexican Red    #a72525
Resene Mid Grey    #5f5f6e
Resene Midnight    #011635
Resene Midnight Express    #000741
Resene Midnight Moss    #041004
Resene Mikado    #2d2510
Resene Milan    #faffa4
Resene Milano Red    #b81104
Resene Milk Punch    #fff6d4
Resene Milk White    #f6f0e6
Resene Millbrook    #594433
Resene Mimosa    #f8fdd3
Resene Mindaro    #e3f988
Resene Mine Shaft    #323232
Resene Mineral Green    #3f5d53
Resene Ming    #36747d
Resene Minsk    #3f307f
Resene Mint Julep    #f1eec1
Resene Mint Tulip    #c4f4eb
Resene Mirage    #161928
Resene Mischka    #d1d2dd
Resene Mist Grey    #c4c4bc
Resene Mobster    #7f7589
Resene Moccaccino    #6e1d14
Resene Mocha    #782d19
Resene Mojo    #c04737
Resene Mona Lisa    #ffa194
Resene Monarch    #8b0723
Resene Mondo    #4a3c30
Resene Mongoose    #b5a27f
Resene Monsoon    #8a8389
Resene Montana    #291e30
Resene Monte Carlo    #83d0c6
Resene Monza    #c7031e
Resene Moody Blue    #7f76d3
Resene Moon Glow    #fcfeda
Resene Moon Mist    #dcddcc
Resene Moon Raker    #d6cef6
Resene Moon Yellow    #fcd917
Resene Morning Glory    #9edee0
Resene Morocco Brown    #441d00
Resene Mortar    #504351
Resene Mosaic    #123447
Resene Mosque    #036a6e
Resene Mountain Mist    #959396
Resene Muddy Waters    #b78e5c
Resene Muesli    #aa8b5b
Resene Mulberry    #5c0536
Resene Mule Fawn    #8c472f
